#Bin Edge short,Bin Edge long,Bin center,Bin width
2.7246479988098145,2.7516307830810547,2.7381393909454346,0.026982784271240234
2.7516307830810547,2.778614044189453,2.765122413635254,0.026983261108398438
2.778614044189453,2.8055973052978516,2.7921056747436523,0.026983261108398438
2.8055973052978516,2.8343796730041504,2.819988489151001,0.028782367706298828
2.8343796730041504,2.8631625175476074,2.848771095275879,0.02878284454345703
2.8631625175476074,2.8920183181762695,2.8775904178619385,0.02885580062866211
2.8920183181762695,2.9208016395568848,2.906409978866577,0.028783321380615234
2.9208016395568848,2.949585437774658,2.9351935386657715,0.028783798217773438
2.949585437774658,2.9783668518066406,2.9639761447906494,0.028781414031982422
2.9783668518066406,3.0089468955993652,2.993656873703003,0.03058004379272461
3.0089468955993652,3.039527416229248,3.0242371559143066,0.030580520629882812
3.039527416229248,3.070180892944336,3.054854154586792,0.03065347671508789
3.070180892944336,3.100761651992798,3.085471272468567,0.030580759048461914
3.100761651992798,3.1313419342041016,3.1160517930984497,0.03058028221130371
3.1313419342041016,3.1619224548339844,3.146632194519043,0.030580520629882812
3.1619224548339844,3.1943013668060303,3.1781119108200073,0.0323789119720459
3.1943013668060303,3.226679801940918,3.210490584373474,0.032378435134887695
3.226679801940918,3.259131908416748,3.242905855178833,0.03245210647583008
3.259131908416748,3.2915101051330566,3.2753210067749023,0.032378196716308594
3.2915101051330566,3.323888063430786,3.3076990842819214,0.03237795829772949
3.323888063430786,3.3562653064727783,3.3400766849517822,0.03237724304199219
3.3562653064727783,3.3904409408569336,3.373353123664856,0.03417563438415527
3.3904409408569336,3.424616575241089,3.4075287580490112,0.03417563438415527
3.424616575241089,3.458868980407715,3.441742777824402,0.03425240516662598
3.458868980407715,3.493046283721924,3.4759576320648193,0.034177303314208984
3.493046283721924,3.5272226333618164,3.51013445854187,0.03417634963989258
3.5272226333618164,3.563197374343872,3.5452100038528442,0.035974740982055664
3.563197374343872,3.5991711616516113,3.5811842679977417,0.03597378730773926
3.5991711616516113,3.635143995285034,3.6171575784683228,0.03597283363342285
3.635143995285034,3.671114444732666,3.65312922000885,0.035970449447631836
3.671114444732666,3.7071571350097656,3.689135789871216,0.03604269027709961
3.7071571350097656,3.7449216842651367,3.726039409637451,0.037764549255371094
3.7449216842651367,3.7826850414276123,3.7638033628463745,0.037763357162475586
3.7826850414276123,3.8204469680786133,3.801566004753113,0.03776192665100098
3.8204469680786133,3.858207941055298,3.8393274545669556,0.03776097297668457
3.858207941055298,3.8959667682647705,3.877087354660034,0.037758827209472656
3.8959667682647705,3.935519218444824,3.9157429933547974,0.03955245018005371
3.935519218444824,3.9751462936401367,3.9553327560424805,0.0396270751953125
3.9751462936401367,4.014695644378662,3.9949209690093994,0.03954935073852539
4.014695644378662,4.054243087768555,4.034469366073608,0.03954744338989258
4.054243087768555,4.095585823059082,4.074914455413818,0.041342735290527344
4.095585823059082,4.136927604675293,4.1162567138671875,0.04134178161621094
4.136927604675293,4.178269386291504,4.157598495483398,0.04134178161621094
4.178269386291504,4.219609260559082,4.198939323425293,0.041339874267578125
4.219609260559082,4.260946273803711,4.2402777671813965,0.041337013244628906
4.260946273803711,4.304078102111816,4.282512187957764,0.04313182830810547
4.304078102111816,4.34728479385376,4.325681447982788,0.04320669174194336
4.34728479385376,4.390414237976074,4.368849515914917,0.04312944412231445
4.390414237976074,4.433542728424072,4.411978483200073,0.04312849044799805
4.433542728424072,4.4784650802612305,4.456003904342651,0.0449223518371582
4.4784650802612305,4.523384094238281,4.500924587249756,0.04491901397705078
4.523384094238281,4.568299770355225,4.545841932296753,0.04491567611694336
4.568299770355225,4.613210678100586,4.590755224227905,0.04491090774536133
4.613210678100586,4.659913063049316,4.636561870574951,0.04670238494873047
4.659913063049316,4.706611633300781,4.683262348175049,0.046698570251464844
4.706611633300781,4.753305912017822,4.729958772659302,0.046694278717041016
4.753305912017822,4.7999958992004395,4.776650905609131,0.04668998718261719
4.7999958992004395,4.848478317260742,4.824237108230591,0.048482418060302734
4.848478317260742,4.896956443786621,4.872717380523682,0.048478126525878906
4.896956443786621,4.94542932510376,4.92119288444519,0.04847288131713867
4.94542932510376,4.995732307434082,4.970580816268921,0.050302982330322266
4.995732307434082,5.0460309982299805,5.020881652832031,0.05029869079589844
5.0460309982299805,5.096283912658691,5.071157455444336,0.05025291442871094
5.096283912658691,5.146531105041504,5.121407508850098,0.0502471923828125
5.146531105041504,5.180105209350586,5.163318157196045,0.03357410430908203
